	Assay	Cell Type	Molecule
1676	CHIP	GM12878	ZNF622
1677	CHIP	K562	HDAC2
1678	CHIP	foreskin keratinocyte male newborn	H3K4me3
1679	CHIP	muscle layer of duodenum male adult (73 years)	H3K4me3
1680	CHIP	heart right ventricle male adult (34 years)	H3K4me1
1681	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-KLF9
1682	CHIP	OCI-LY1	H3K9ac
1683	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF280C
1684	CHIP	layer of hippocampus male adult (73 years)	H3K27me3
1685	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZBTB44
1686	CHIP	K562	RNF2
1687	CHIP	K562	CREM
1688	CHIP	CD4-positive, alpha-beta memory T cell	H3K4me3
1689	CHIP	spleen female adult (30 years)	H3K36me3
1690	CHIP	esophagus squamous epithelium female adult (53 years)	H3K36me3
1691	CHIP	K562	MCM5
1692	CHIP	foreskin fibroblast male newborn	H3K4me3
1693	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF639
1694	CHIP	right lobe of liver female adult (53 years)	H3K36me3
1695	CHIP	liver female child (4 years)	FOXA2
1696	CHIP	CD14-positive monocyte male adult (21 year)	H3K27me3
1697	CHIP	trophoblast cell originated from H1-hESC	H3K18ac
1698	CHIP	HepG2	RAD51
1699	CHIP	NCI-H929	H3K4me3
1700	CHIP	adipose tissue male adult (34 years)	H3K27ac
1701	CHIP	transverse colon male adult (37 years)	H3K9me3
1702	CHIP	thoracic aorta male adult (37 years)	H3K36me3
1703	CHIP	mucosa of stomach male adult (59 years)	H3K36me3
1704	CHIP	spinal cord female embryo (113 days)	H3K36me3
1705	CHIP	stomach smooth muscle male adult (59 years)	H3K36me3
1706	CHIP	DOHH2	CTCF
1707	CHIP	K562	NFXL1
1708	CHIP	heart male embryo (105 days)	H3K9ac
1709	CHIP	liver male adult (32 years)	SP1
1710	CHIP	layer of hippocampus male adult (73 years)	H3K9me3
1711	CHIP	K562	NBN
1712	CHIP	Parathyroid adenoma male adult (65 years)	H3K79me2
1713	CHIP	K562	KAT8
1714	CHIP	heart right ventricle male child (3 years)	H3K9me3
1715	CHIP	spleen female adult (30 years)	H3K27ac
1716	CHIP	MM.1S	H3K4me2
1717	CHIP	skeletal muscle tissue female adult (72 years)	H3K9ac
1718	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-KDM1A
1719	CHIP	IMR-90	H3K4me3
1720	CHIP	esophagus male adult (34 years)	H3K27me3
1721	CHIP	SU-DHL-6	EZH2phosphoT487
1722	CHIP	gastroesophageal sphincter female adult (53 years)	EP300
1723	CHIP	omental fat pad male adult (37 years)	CTCF
1724	CHIP	myoepithelial cell of mammary gland female adult (33 years)	H3K4me1
1725	CHIP	foreskin keratinocyte male newborn	H3K36me3
1726	CHIP	K562	HLTF
1727	CHIP	smooth muscle cell originated from H9	H3K9me3
1728	CHIP	HEK293T	SUZ12
1729	CHIP	GM12878	SUZ12
1730	CHIP	gastroesophageal sphincter male adult (54 years)	POLR2A
1731	CHIP	K562 genetically modified using stable transfection originated from K562	eGFP-ATF1
1732	CHIP	K562	HES1
1733	CHIP	HCT116	H3K36me3
1734	CHIP	T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	H3K4me1
1735	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-FOXA3
1736	CHIP	K562 genetically modified using stable transfection	eGFP-CREB3
1737	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF16
1738	CHIP	HCT116	H3K9ac
1739	CHIP	brain female embryo (120 days)	H3K4me1
1740	CHIP	MM.1S	H3K4me1
1741	CHIP	adrenal gland male adult (37 years)	H3K27ac
1742	CHIP	HEK293T	FOXA1
1743	CHIP	MCF-7 genetically modified using stable transfection	eGFP-CEBPG
1744	CHIP	esophagus muscularis mucosa female adult (53 years)	H3K27ac
1745	CHIP	kidney female embryo (120 days)	H3K4me3
1746	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-ETV5
1747	CHIP	GM23248	EZH2phosphoT487
1748	CHIP	MCF-7	ZNF207
1749	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF311
1750	CHIP	gastroesophageal sphincter female adult (53 years)	POLR2A
1751	CHIP	ES-I3	H3K9ac
1752	CHIP	chorionic villus male embryo (16 weeks)	H3K4me3
1753	CHIP	naive thymus-derived CD4-positive, alpha-beta T cell	H3K4me3
1754	CHIP	liver male adult (32 years)	RXRA
1755	CHIP	stomach female embryo (96 days)	H3K4me1
1756	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-PRDM1
1757	CHIP	K562	ZNF24
1758	CHIP	skeletal muscle satellite cell female adult originated from mesodermal cell	H3K9ac
1759	CHIP	mesodermal cell originated from HUES64	H3K36me3
1760	CHIP	kidney male adult (50 years)	H3K4me3
1761	CHIP	iPS DF 19.11 male newborn	H3K27me3
1762	CHIP	neurosphere female embryo (17 weeks) originated from cortex	H3K4me1
1763	CHIP	K562	TAF9B
1764	CHIP	lung female embryo (96 days)	H3K36me3
1765	CHIP	transverse colon male adult (54 years)	H3K36me3
1766	CHIP	HepG2	TBL1XR1
1767	CHIP	HepG2	ZNF384
1768	CHIP	gastrocnemius medialis female adult (53 years)	H3K36me3
1769	CHIP	transverse colon male adult (37 years)	CTCF
1770	CHIP	K562	ZMYM3
1771	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF175
1772	CHIP	CD8-positive, alpha-beta T cell male adult (37 years)	H3K27me3
1773	CHIP	neurosphere embryo (15 weeks) originated from ganglionic eminence	H3K4me3
1774	CHIP	ascending aorta female adult (51 year)	H3K27me3
1775	CHIP	HepG2	TFAP4
1776	CHIP	gastrocnemius medialis female adult (53 years)	POLR2A
1777	CHIP	radial glial cell genetically modified using stable transfection originated from H9	H3K9me3
1778	CHIP	peripheral blood mononuclear cell male adult (39 years)	H3K27ac
1779	CHIP	neural progenitor cell originated from H9	H3K9ac
1780	CHIP	spleen female adult (53 years)	H3K9me3
1781	CHIP	gastrocnemius medialis male adult (54 years)	H3K36me3
1782	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF366
1783	CHIP	K562	TAL1
1784	CHIP	Parathyroid adenoma male adult (62 years)	H3K4me2
1785	CHIP	transverse colon female adult (53 years)	POLR2A
1786	CHIP	K562	MLLT1
1787	CHIP	heart right ventricle male child (3 years)	H3K4me3
1788	CHIP	K562	YBX1
1789	CHIP	foreskin fibroblast male newborn	H3K27ac
1790	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-GATAD1
1791	CHIP	caudate nucleus male adult (81 year)	H3K9me3
1792	CHIP	MCF-7	HES1
1793	CHIP	heart left ventricle male child (3 years)	H3K27me3
1794	CHIP	K562	CREB3L1
1795	CHIP	subcutaneous abdominal adipose tissue nuclear fraction female adult (25 years)	H3K27me3
1796	CHIP	lung female embryo (120 days)	H3K27me3
1797	CHIP	liver male adult (31 year)	H3K4me1
1798	CHIP	SK-N-MC	H3K9ac
1799	CHIP	endocrine pancreas adult (59 years)	H3K9me3
1800	CHIP	heart left ventricle male adult (34 years)	H3K4me1
1801	CHIP	HepG2	CREB1
1802	CHIP	K562	HNRNPLL
1803	CHIP	ovary female adult (30 years)	H3K4me1
1804	CHIP	SK-N-MC	EZH2
1805	CHIP	K562	MTA2
1806	CHIP	mid-neurogenesis radial glial cells genetically modified using stable transfection originated from H9	H3K27me3
1807	CHIP	luminal epithelial cell of mammary gland female adult (33 years)	H3K27me3
1808	CHIP	temporal lobe male adult (81 year)	H3K36me3
1809	CHIP	SU-DHL-6	H3K9ac
1810	CHIP	K562	ASH1L
1811	CHIP	HepG2	KDM1A
1812	CHIP	foreskin keratinocyte male newborn	H3K4me1
1813	CHIP	T-cell male adult (21 year)	H3K9me3
1814	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-MIER2
1815	CHIP	mesenchymal stem cell originated from H1-hESC	H3K4ac
1816	CHIP	K562	PKNOX1
1817	CHIP	spleen female adult (30 years)	H3K4me1
1818	CHIP	adipocyte originated from mesenchymal stem cell	H3K4me1
1819	CHIP	MCF-7	CSDE1
1820	CHIP	esophagus muscularis mucosa female adult (53 years)	EP300
1821	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-HOMEZ
1822	CHIP	cingulate gyrus female adult (75 years)	H3K4me1
1823	CHIP	CD4-positive, alpha-beta memory T cell	H3K9me3
1824	CHIP	GM12878	ZNF207
1825	CHIP	K562 genetically modified using stable transfection	eGFP-ZNF24
1826	CHIP	K562	NCOA4
1827	CHIP	K562	PHF21A
1828	CHIP	MM.1S	H3K36me3
1829	CHIP	K562	PRDM10
1830	CHIP	placenta embryo (16 weeks)	H3K4me3
1831	CHIP	SK-N-SH	H3K9ac
1832	CHIP	K562	CDC5L
1833	CHIP	esophagus squamous epithelium female adult (53 years)	H3K4me1
1834	CHIP	stomach male adult (54 years)	POLR2A
1835	CHIP	foreskin fibroblast male newborn	H3K4me3
1836	CHIP	prostate gland male adult (54 years)	POLR2A
1837	CHIP	ascending aorta female adult (53 years)	H3K4me3
1838	CHIP	layer of hippocampus female adult (75 years)	H3K27ac
1839	CHIP	neural stem progenitor cell originated from H1-hESC	H2BK15ac
1840	CHIP	IMR-90	FOS
1841	CHIP	K562	ETV6
1842	CHIP	IMR-90	H2AFZ
1843	CHIP	GM23248	H3K4me2
1844	CHIP	neural cell	H3K27ac
1845	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-MLX
1846	CHIP	SU-DHL-6	CTCF
1847	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF394
1848	CHIP	SK-N-SH	H3F3A
1849	CHIP	neural progenitor cell originated from H9	CTCF
1850	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF561
1851	CHIP	MCF-7 genetically modified using stable transfection	eGFP-KLF9
1852	CHIP	mesendoderm originated from H1-hESC	H3K4me2
1853	CHIP	layer of hippocampus male adult (81 year)	H3K36me3
1854	CHIP	K562 genetically modified using stable transfection	eGFP-PTRF
1855	CHIP	MCF-7	FOXA1
1856	CHIP	neurosphere female embryo (17 weeks) originated from ganglionic eminence	H3K36me3
1857	CHIP	tibial artery female adult (53 years)	H3K36me3
1858	CHIP	HepG2	SNRNP70
1859	CHIP	muscle of leg female embryo (110 days)	H3K4me3
1860	CHIP	aorta female adult (30 years)	H3K27me3
1861	CHIP	stomach male adult (34 years)	H3K4me3
1862	CHIP	H1-hESC	H3K4ac
1863	CHIP	K562	COPS2
1864	CHIP	smooth muscle cell originated from H9	H3K4me1
1865	CHIP	K562 genetically modified using stable transfection	eGFP-NR4A1
1866	CHIP	neurosphere female embryo (17 weeks) originated from ganglionic eminence	H3K4me3
1867	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-PPARG
1868	CHIP	placenta female embryo (113 days)	H3K36me3
1869	CHIP	GM23248	EZH2
1870	CHIP	transverse colon male adult (54 years)	POLR2A
1871	CHIP	stomach female adult (53 years)	H3K27ac
1872	CHIP	prostate male adult (54 years)	H3K9me3
1873	CHIP	mammary epithelial cell female adult (18 years)	H3K27me3
1874	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZFP3
1875	CHIP	MCF-7	NRF1
1876	CHIP	radial glial cell genetically modified using stable transfection originated from H9	H3K36me3
1877	CHIP	common myeloid progenitor, CD34-positive female adult (33 years)	H3K4me3
1878	CHIP	fibroblast of breast female adult (26 years)	H3K27me3
1879	CHIP	ectodermal cell originated from embryonic stem cell	H3K4me1
1880	CHIP	adipocyte originated from mesenchymal stem cell	H3K36me3
1881	CHIP	K562	REST
1882	CHIP	CD4-positive, alpha-beta T cell treated with phorbol 13-acetate 12-myristate , ionomycin	H3K27ac
1883	CHIP	K562	RNF2
1884	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF132
1885	CHIP	K562	MCM2
1886	CHIP	K562	GABPB1
1887	CHIP	neural progenitor cell originated from H9	H3K27me3
1888	CHIP	ovary female adult (30 years)	H3K4me3
1889	CHIP	HeLa-S3	MAFF
1890	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-SP3
1891	CHIP	colonic mucosa female adult (73 years)	H3K36me3
1892	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-CEBPA
1893	CHIP	heart right ventricle male adult (34 years)	H3K36me3
1894	CHIP	uterus female adult (53 years)	POLR2A
1895	CHIP	K562	EWSR1
1896	CHIP	K562	ZC3H8
1897	CHIP	brain male embryo (122 days)	H3K4me3
1898	CHIP	smooth muscle cell originated from H9	H3K27me3
1899	CHIP	amnion male embryo (16 weeks)	H3K27me3
1900	CHIP	mesendoderm originated from H1-hESC	H3K36me3
1901	CHIP	HepG2	NFRKB
1902	CHIP	HepG2	TARDBP
1903	CHIP	K562	ATF4
1904	CHIP	GM12878	HDGF
1905	CHIP	gastroesophageal sphincter female adult (51 year)	CTCF
1906	CHIP	mucosa of rectum female adult (61 year)	H3K4me3
1907	CHIP	skeletal muscle tissue	H3K4me1
1908	CHIP	subcutaneous abdominal adipose tissue nuclear fraction female adult (59 years)	H3K9ac
1909	CHIP	brain female embryo (17 weeks)	H3K9me3
1910	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-REPIN1
1911	CHIP	kidney male adult (50 years)	H3K9ac
1912	CHIP	foreskin melanocyte male newborn	H3K27me3
1913	CHIP	esophagus squamous epithelium female adult (53 years)	POLR2A
1914	CHIP	subcutaneous adipose tissue female adult (53 years)	EP300
1915	CHIP	gastrocnemius medialis male adult (37 years)	H3K4me1
1916	CHIP	duodenal mucosa male adult (76 years)	H3K4me3
1917	CHIP	K562 genetically modified using CRISPR	eGFP-ZNF584
1918	CHIP	esophagus male adult (34 years)	H3K9me3
1919	CHIP	substantia nigra female adult (75 years)	H3K4me1
1920	CHIP	muscle of leg female embryo (110 days)	H3K36me3
1921	CHIP	heart left ventricle male adult (34 years)	H3K27ac
1922	CHIP	sigmoid colon female adult (53 years)	H3K36me3
1923	CHIP	HepG2	AGO2
1924	CHIP	foreskin melanocyte male newborn	H3K9ac
1925	CHIP	SK-N-MC	H3K4me1
1926	CHIP	subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year)	H3K9ac
1927	CHIP	PC-9	H4K20me1
1928	CHIP	lower leg skin male adult (54 years)	POLR2A
1929	CHIP	HUES48	H3K4me3
1930	CHIP	K562	TRIP13
1931	CHIP	tibial nerve female adult (51 year)	POLR2A
1932	CHIP	GM23338 male adult (53 years) originated from GM23248	H3K79me2
1933	CHIP	K562	ARNT
1934	CHIP	MCF-7	ZBTB11
1935	CHIP	HepG2	PTBP1
1936	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-DNMT3B
1937	CHIP	esophagus squamous epithelium male adult (37 years)	POLR2A
1938	CHIP	peripheral blood mononuclear cell female adult (28 years)	H3K27ac
1939	CHIP	HepG2	ZKSCAN1
1940	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-ZNF205
1941	CHIP	middle frontal area 46 female adult (75 years)	H3K4me3
1942	CHIP	large intestine male embryo (108 days)	H3K27me3
1943	CHIP	K562	SMARCE1
1944	CHIP	tibial nerve female adult (53 years)	H3K36me3
1945	CHIP	K562 genetically modified using CRISPR	eGFP-ZBTB40
1946	CHIP	ovary female adult (51 year)	EP300
1947	CHIP	Karpas-422	H4K20me1
1948	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-ERF
1949	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF518A
1950	CHIP	K562 genetically modified using CRISPR	3xFLAG-ATF1
1951	CHIP	myoepithelial cell of mammary gland female adult (36 years)	H3K36me3
1952	CHIP	K562	GATAD2A
1953	CHIP	H1-hESC	KDM5A
1954	CHIP	spleen female adult (53 years)	H3K27me3
1955	CHIP	gastrocnemius medialis male adult (54 years)	H3K4me1
1956	CHIP	HCT116	H3K4me1
1957	CHIP	H1-hESC	H2BK5ac
1958	CHIP	naive thymus-derived CD4-positive, alpha-beta T cell	H3K4me3
1959	CHIP	B cell female adult (27 years)	H3K27me3
1960	CHIP	K562	MYBL2
1961	CHIP	peripheral blood mononuclear cell male adult (32 years)	H3K36me3
1962	CHIP	adipocyte originated from mesenchymal stem cell	H3K9ac
1963	CHIP	common myeloid progenitor, CD34-positive male adult	H3K4me3
1964	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF189
1965	CHIP	IMR-90	H4K91ac
1966	CHIP	common myeloid progenitor, CD34-positive female adult (33 years)	H3K36me3
1967	CHIP	Loucy	H3K4me2
1968	CHIP	stomach female adult (53 years)	H3K36me3
1969	CHIP	iPS-20b male adult (55 years)	H3K9ac
1970	CHIP	tibial artery female adult (53 years)	H3K9me3
1971	CHIP	CD8-positive, alpha-beta T cell male adult (28 years)	H3K4me3
1972	CHIP	K562 genetically modified using stable transfection	eGFP-DIDO1
1973	CHIP	K562	ZNF316
1974	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF544
1975	CHIP	K562	NCOA6
1976	CHIP	stomach smooth muscle male adult (59 years)	H3K4me3
1977	CHIP	liver female child (4 years)	NR2F2
1978	CHIP	muscle layer of duodenum male adult (73 years)	H3K9me3
1979	CHIP	neural stem progenitor cell originated from H9	H3K4me1
1980	CHIP	HepG2	PHB2
1981	CHIP	spleen male child (3 years)	H3K27ac
1982	CHIP	common myeloid progenitor, CD34-positive	H3K4me1
1983	CHIP	transverse colon female adult (51 year)	POLR2AphosphoS5
1984	CHIP	muscle layer of colon female adult (56 years)	H3K4me3
1985	CHIP	K562	E2F7
1986	CHIP	HepG2	FOXK2
1987	CHIP	mesenchymal stem cell originated from H1-hESC	H4K8ac
1988	CHIP	foreskin keratinocyte male newborn	H3K4me3
1989	CHIP	stomach female adult (51 year)	CTCF
1990	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-ZNF580
1991	CHIP	MCF-7	COPS2
1992	CHIP	iPS DF 6.9 male newborn	H3K36me3
1993	CHIP	GM12878	ZNF592
1994	CHIP	lower leg skin male adult (37 years)	POLR2A
1995	CHIP	K562	EHMT2
1996	CHIP	coronary artery female adult (53 years)	CTCF
1997	CHIP	myoepithelial cell of mammary gland female adult (33 years)	H3K9ac
1998	CHIP	bipolar neuron originated from GM23338 treated with 0.5 ug/mL doxycycline hyclate for 4 days	H3K9me2
1999	CHIP	K562	ZSCAN29
2000	CHIP	colonic mucosa female adult (56 years)	H3K27ac
2001	CHIP	HUES6	H3K4me3
2002	CHIP	subcutaneous adipose tissue male adult (37 years)	EP300
2003	CHIP	MCF-7	JUN
2004	CHIP	heart left ventricle male adult (34 years)	H3K9me3
2005	CHIP	duodenal mucosa male adult (59 years)	H3K36me3
2006	CHIP	esophagus muscularis mucosa female adult (53 years)	H3K27me3
2007	CHIP	K562	FIP1L1
2008	CHIP	adrenal gland male adult (54 years)	H3K27ac
2009	CHIP	myoepithelial cell of mammary gland female adult (33 years)	H3K4me3
2010	CHIP	GM12878	MEF2B
2011	CHIP	K562	BRD9
2012	CHIP	K562 genetically modified using stable transfection	eGFP-NR2C1
2013	CHIP	K562 genetically modified using CRISPR	eGFP-CUX1
2014	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF274
2015	CHIP	HCT116	H3K9me3
2016	CHIP	common myeloid progenitor, CD34-positive male adult (36 years)	H3K9me3
2017	CHIP	small intestine male child (3 years)	H3K4me1
2018	CHIP	A673	EZH2
2019	CHIP	PC-9	H3F3A
2020	CHIP	substantia nigra female adult (75 years)	H3K27me3
2021	CHIP	adrenal gland male adult (34 years)	H3K27me3
2022	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-ZNF3
2023	CHIP	neural stem progenitor cell originated from H1-hESC	H3K18ac
2024	CHIP	HepG2	HNRNPUL1
2025	CHIP	Loucy	H3K27me3
2026	CHIP	muscle of trunk female embryo (115 days)	H3K9me3
2027	CHIP	HeLa-S3	ZFP36
2028	CHIP	OCI-LY1	H3K4me1
2029	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-ZBTB26
2030	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF341
2031	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF549
2032	CHIP	Loucy	H3K9me2
2033	CHIP	gastroesophageal sphincter male adult (37 years)	CTCF
2034	CHIP	H1-hESC	H3K27me3
2035	CHIP	pancreas male adult (34 years)	H3K27me3
2036	CHIP	H9	H3K79me2
2037	CHIP	OCI-LY1	H3K9me3
2038	CHIP	K562	SMAD2
2039	CHIP	adrenal gland female adult (53 years)	H3K27ac
2040	CHIP	K562	TCF12
2041	CHIP	K562	GTF2F1
2042	CHIP	smooth muscle cell originated from H9	H4K20me1
2043	CHIP	K562 genetically modified using CRISPR	eGFP-VEZF1
2044	CHIP	GM12878	ZBTB40
2045	CHIP	duodenal mucosa male adult (59 years)	H3K9ac
2046	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-PHF5A
2047	CHIP	B cell male adult (37 years)	H3K27ac
2048	CHIP	GM12878	PAX8
2049	CHIP	common myeloid progenitor, CD34-positive male adult (42 years)	H3K4me3
2050	CHIP	muscle of trunk female embryo (115 days)	H3K36me3
2051	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF221
2052	CHIP	K562 genetically modified using CRISPR	eGFP-ZNF766
2053	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF704
2054	CHIP	placental basal plate female embryo (40 weeks)	H3K4me3
2055	CHIP	endodermal cell originated from HUES64	H3K4me1
2056	CHIP	placenta embryo (16 weeks)	H3K4me1
2057	CHIP	middle frontal area 46 male adult (81 year)	H3K27ac
2058	CHIP	K562 genetically modified using CRISPR	3xFLAG-ZNF3
2059	CHIP	liver female child (4 years)	JUND
2060	CHIP	epithelial cell of prostate male	CTCF
2061	CHIP	common myeloid progenitor, CD34-positive male adult (36 years)	H3K4me1
2062	CHIP	mesenchymal stem cell originated from adipose tissue	H3K4me1
2063	CHIP	aorta male adult (34 years)	H3K27me3
2064	CHIP	K562	HDGF
2065	CHIP	MCF-7	SREBF1
2066	CHIP	spleen female adult (53 years)	H3K4me3
2067	CHIP	PC-3	H3K9ac
2068	CHIP	IMR-90	NFE2L2
2069	CHIP	MCF-7	H3F3A
2070	CHIP	H7-hESC	H3K27me3
2071	CHIP	naive thymus-derived CD4-positive, alpha-beta T cell	H3K36me3
2072	CHIP	neural cell originated from H1-hESC	RAD21
2073	CHIP	OCI-LY7	H3K9me2
2074	CHIP	subcutaneous abdominal adipose tissue nuclear fraction female adult (25 years)	H3K4me1
2075	CHIP	GM12878	EED
2076	CHIP	MCF-7	HDGF
2077	CHIP	endodermal cell originated from HUES64	H3K27ac
2078	CHIP	K562	ZNF316
2079	CHIP	esophagus female adult (30 years)	H3K9me3
2080	CHIP	adipocyte originated from mesenchymal stem cell	H3K9me3
2081	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-NFIL3
2082	CHIP	K562	CTBP1
2083	CHIP	gastrocnemius medialis female adult (53 years)	H3K27me3
2084	CHIP	stomach female embryo (98 days)	H3K4me3
2085	CHIP	ascending aorta female adult (51 year)	H3K4me1
2086	CHIP	chorionic villus male embryo (16 weeks)	H3K36me3
2087	CHIP	duodenal mucosa male adult (76 years)	H3K9me3
2088	CHIP	CD4-positive, CD25-positive, alpha-beta regulatory T cell	H3K27me3
2089	CHIP	thyroid gland male adult (54 years)	H3K27ac
2090	CHIP	RWPE1	H3K27ac
2091	CHIP	Panc1	CTCF
2092	CHIP	liver male adult (78 years)	H3K4me1
2093	CHIP	adrenal gland male adult (37 years)	H3K36me3
2094	CHIP	lung female adult (30 years)	H3K27me3
2095	CHIP	liver female child (4 years)	ATF3
2096	CHIP	small intestine male embryo (108 days)	H3K36me3
2097	CHIP	GM12878	YBX1
2098	CHIP	gastroesophageal sphincter female adult (53 years)	CTCF
2099	CHIP	peripheral blood mononuclear cell female adult (28 years)	H3K4me3
2100	CHIP	gastrocnemius medialis male adult (37 years)	H3K4me3
2101	CHIP	myoepithelial cell of mammary gland female adult (33 years)	H3K9me3
2102	CHIP	GM12878	ZBED1
2103	CHIP	adrenal gland male embryo (97 days)	H3K4me1
2104	CHIP	transverse colon female adult (53 years)	H3K27ac
2105	CHIP	upper lobe of left lung female adult (53 years)	H3K4me3
2106	CHIP	spinal cord female embryo (108 days)	H3K27ac
2107	CHIP	caudate nucleus female adult (75 years)	H3K27me3
2108	CHIP	HepG2 genetically modified using CRISPR	3xFLAG-IKZF5
2109	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF391
2110	CHIP	IMR-90	H2BK120ac
2111	CHIP	smooth muscle cell originated from H9	H3K27ac
2112	CHIP	HepG2	NBN
2113	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZSCAN4
2114	CHIP	K562	EGR1
2115	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-GLI4
2116	CHIP	luminal epithelial cell of mammary gland female adult (33 years)	H3K36me3
2117	CHIP	GM12878	SKIL
2118	CHIP	subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year)	H3K9me3
2119	CHIP	liver female adult (25 years)	H3K36me3
2120	CHIP	K562	TOE1
2121	CHIP	trophoblast cell originated from H1-hESC	H3K79me1
2122	CHIP	sigmoid colon male child (3 years)	H3K27ac
2123	CHIP	trophoblast cell originated from H1-hESC	H2BK5ac
2124	CHIP	K562	TRIM25
2125	CHIP	subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year)	H3K27me3
2126	CHIP	B cell male adult (21 year)	H3K4me1
2127	CHIP	iPS-20b male adult (55 years)	H3K9me3
2128	CHIP	chorion male embryo (16 weeks)	H3K4me3
2129	CHIP	H1-hESC	H3K27me3
2130	CHIP	stomach smooth muscle male adult (59 years)	H3K27me3
2131	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ATF2
2132	CHIP	esophagus muscularis mucosa male adult (37 years)	POLR2AphosphoS5
2133	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF697
2134	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-TSHZ1
2135	CHIP	adrenal gland male embryo (97 days)	H3K27me3
2136	CHIP	HEK293T	ZFX
2137	CHIP	naive thymus-derived CD4-positive, alpha-beta T cell	H3K27me3
2138	CHIP	T-cell male adult (21 year)	H3K4me1
2139	CHIP	PC-3	EZH2
2140	CHIP	liver male adult (32 years)	H3K4me1
2141	CHIP	K562	DPF2
2142	CHIP	HeLa-S3	DEK
2143	CHIP	IMR-90	H3K9ac
2144	CHIP	HepG2	GTF2F1
2145	CHIP	hepatocyte originated from H9	H3K4me2
2146	CHIP	K562	PRPF4
2147	CHIP	K562	MBD2
2148	CHIP	trophoblast female embryo (20 weeks)	H3K27me3
2149	CHIP	K562	SRSF7
2150	CHIP	T-cell male adult (37 years)	H3K27ac
2151	CHIP	sigmoid colon male adult (54 years)	CTCF
2152	CHIP	CD4-positive, alpha-beta memory T cell	H3K4me3
2153	CHIP	K562	BRCA1
2154	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-PRDM10
2155	CHIP	HUES48	H3K27ac
2156	CHIP	naive thymus-derived CD4-positive, alpha-beta T cell	H3K9me3
2157	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF426
2158	CHIP	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF121
2159	CHIP	omental fat pad female adult (51 year)	CTCF
